calib_id,sigma_range,sigma_encoder,window_size,est_cj_x,est_cj_y,cj_x,cj_y,cov_00,cov_01,cov_10,cov_11,movement_name
2,0.001,0.0009,15,-0.019509261646295392,-0.017525385663143347,-0.02,-0.019,1.0485693057068454e-07,2.1488064497590984e-07,2.1488064497590984e-07,1.4864302725577456e-06,-30 to 30 deg
3,0.001,0.0009,15,-0.04906545311259458,0.007744372888964329,-0.05,0.01,8.013239503060087e-08,-8.144191824781069e-08,-8.144191824781069e-08,1.0669904068313927e-06,-30 to 30 deg
0,0.001,0.0009,15,-0.02005397134837119,-0.0008976508350959597,-0.02,0.0,7.358936901831354e-08,-2.5890643883293004e-08,-2.5890643883293004e-08,1.1630675295523392e-06,-30 to 30 deg
1,0.001,0.0009,15,0.0005547608394208279,0.017880725420994198,0.0,0.019,8.906498237673127e-08,-1.9590268764767697e-07,-1.9590268764767697e-07,2.2067436873180504e-06,-30 to 30 deg
2,0.001,0.0009,15,-0.019415161663605438,-0.017648468165386542,-0.02,-0.019,1.10073206360571e-07,2.387099593426322e-07,2.387099593426322e-07,1.5696449061683351e-06,-30 to 30 deg
3,0.001,0.0009,15,-0.04848984345987786,0.003693095168300585,-0.05,0.01,7.528508721175204e-08,-6.557262703409891e-08,-6.557262703409891e-08,1.4360873745260975e-06,-30 to 30 deg
0,0.001,0.0009,15,-0.020002033257555327,-0.0008017922114521209,-0.02,0.0,7.458696463118191e-08,-4.6755010057546235e-08,-4.6755010057546235e-08,1.2347182419360957e-06,-30 to 30 deg
1,0.001,0.0009,15,0.0004510333967135009,0.018219128021117813,0.0,0.019,9.991241055788371e-08,-2.72550233659741e-07,-2.72550233659741e-07,2.616450287625323e-06,-30 to 30 deg
2,0.001,0.0009,15,-0.01946361291948568,-0.01810103549292295,-0.02,-0.019,1.4383098409014025e-07,3.681491970092333e-07,3.681491970092333e-07,1.9421613147646013e-06,-30 to 30 deg
3,0.001,0.0009,15,-0.04736246754690647,0.009203982725618981,-0.05,0.01,7.365613511913249e-08,2.355646981266229e-09,2.355646981266229e-09,1.033829248830033e-06,-30 to 30 deg
0,0.001,0.0009,15,-0.020143067204341537,-0.0005152258147175817,-0.02,0.0,7.828473923673526e-08,-8.03539447407697e-08,-8.03539447407697e-08,1.2304492186482912e-06,-30 to 30 deg
1,0.001,0.0009,15,0.00047052370939622637,0.01928469106782127,0.0,0.019,1.0401710325747722e-07,-2.680628191526191e-07,-2.680628191526191e-07,2.2506947471370364e-06,-30 to 30 deg
2,0.001,0.0009,15,-0.01951856002849173,-0.017761786167034593,-0.02,-0.019,9.869569528422081e-08,2.0791844684955316e-07,2.0791844684955316e-07,1.681757080035192e-06,-30 to 30 deg
3,0.001,0.0009,15,-0.05041861265360589,0.0062904792962000826,-0.05,0.01,7.621494075719563e-08,2.654264471747978e-08,2.654264471747978e-08,7.910693372940906e-07,-30 to 30 deg
0,0.001,0.0009,15,-0.0201449101463839,-0.004237156037539193,-0.02,0.0,7.699177902044322e-08,2.307631217766029e-07,2.307631217766029e-07,7.045070499709542e-06,-15 to 15 deg
1,0.001,0.0009,15,-0.0005114864676635698,0.020091020601318035,0.0,0.019,2.8870355395498365e-07,-1.3025115287999304e-06,-1.3025115287999304e-06,7.808825115626944e-06,-15 to 15 deg
2,0.001,0.0009,15,-0.018729840049107147,-0.011465524242499112,-0.02,-0.019,1.1429109814194812e-07,2.911910178107797e-07,2.911910178107797e-07,2.034354448122475e-06,-15 to 15 deg
3,0.001,0.0009,15,-0.04556763129993933,0.019364441021967195,-0.05,0.01,1.673358948422186e-07,-6.361511710889091e-07,-6.361511710889091e-07,4.2394085553457015e-06,-15 to 15 deg
0,0.001,0.0009,15,-0.020019199663645123,-0.003427383974558505,-0.02,0.0,8.07017333477495e-08,2.956318563310666e-07,2.956318563310666e-07,7.72862766569302e-06,-15 to 15 deg
1,0.001,0.0009,15,-0.000659628193579571,0.020503163303947258,0.0,0.019,2.6423109553596204e-07,-1.1991052923401422e-06,-1.1991052923401422e-06,7.454965044518055e-06,-15 to 15 deg
2,0.001,0.0009,15,-0.0193329195566826,-0.011072829015942885,-0.02,-0.019,8.661579027118885e-08,1.5230716742942803e-07,1.5230716742942803e-07,1.6315834601708378e-06,-15 to 15 deg
3,0.001,0.0009,15,-0.04900172711391018,0.031025190687866678,-0.05,0.01,2.1390321562250444e-07,-6.240137796699331e-07,-6.240137796699331e-07,2.8074909267780478e-06,-15 to 15 deg
0,0.001,0.0009,15,-0.020047699135630065,-0.00348353694782982,-0.02,0.0,8.033099177057269e-08,2.8958293387390965e-07,2.8958293387390965e-07,7.668820842068458e-06,-15 to 15 deg
1,0.001,0.0009,15,-0.000595700088336446,0.020760687063050554,0.0,0.019,2.107361283989997e-07,-9.229435590210057e-07,-9.229435590210057e-07,6.1095553323266024e-06,-15 to 15 deg
2,0.001,0.0009,15,-0.01916483111117743,-0.01675891087646287,-0.02,-0.019,8.161129616917039e-08,2.0049575776164797e-07,2.0049575776164797e-07,3.6080831536715447e-06,-15 to 15 deg
3,0.001,0.0009,15,-0.05114258196485925,0.022939219078522973,-0.05,0.01,2.1201585368131744e-07,-6.967499824424413e-07,-6.967499824424413e-07,3.5067338962293998e-06,-15 to 15 deg
0,0.001,0.0009,15,-0.019969405461651553,-0.0014557011745554536,-0.02,0.0,7.882373568544442e-08,2.737463194875995e-07,2.737463194875995e-07,7.911707867856024e-06,-15 to 15 deg
1,0.001,0.0009,15,-0.000753671317292513,0.021544203656959072,0.0,0.019,2.1389864933501236e-07,-9.820395233419324e-07,-9.820395233419324e-07,6.755978214058894e-06,-15 to 15 deg
2,0.001,0.0009,15,-0.019428738837846342,-0.013927974761759802,-0.02,-0.019,8.535977475476371e-08,2.3212490468740466e-07,2.3212490468740466e-07,3.6170205743371603e-06,-15 to 15 deg
3,0.001,0.0009,15,-0.05058278181548778,0.024985972754996793,-0.05,0.01,4.791739412628672e-07,-1.971987610873291e-06,-1.971987610873291e-06,9.573921262380406e-06,-15 to 15 deg
0,0.001,0.0009,15,-0.0199905978506096,-0.00262593022758261,-0.02,0.0,7.887855061629615e-08,3.106817348231354e-07,3.106817348231354e-07,9.987916419094516e-06,-15 to 15 deg
1,0.001,0.0009,15,-0.0007815890869305424,0.021832064494960036,0.0,0.019,2.1912877691496609e-07,-9.658527076767327e-07,-9.658527076767327e-07,6.3131530526908565e-06,-15 to 15 deg
2,0.001,0.0009,15,-0.020238344591470208,-0.01649457237846027,-0.02,-0.019,1.2600994797061865e-07,4.70105107518248e-07,4.70105107518248e-07,4.021663057500817e-06,-15 to 15 deg
3,0.001,0.0009,15,-0.05439249576487408,0.04969108049184978,-0.05,0.01,9.505135439574363e-07,-1.8589515509967893e-06,-1.8589515509967893e-06,4.0103097856070674e-06,-15 to 15 deg
