sigma_pos,sigma_theta,sigma_encoder,k,connected,limb_id,child_id,cost_per_obs,cov_trace,cj_x,cj_y,cj_theta
0.05,0.09,0.0009,20,True,4,5,0.7413083736662626,0.0005045644626114927,-0.001725326034021775,-0.006275278942477152,2.906797711630346e-06
0.05,0.09,0.0009,20,False,6,0,28.5641783961319,0.0005001163946565271,-0.14375396422787218,-0.006929039797386779,-0.00017008499583177862
0.05,0.09,0.0009,20,True,6,7,0.833558280575627,0.0005035750107893046,-0.019390076560030133,0.00926610508177605,-4.445552863530615e-05
0.05,0.09,0.0009,20,False,6,3,29.093411993512724,0.0005001468275417206,-0.14122678488546858,0.012654983516240734,-0.00032099037246406437
0.05,0.09,0.0009,20,True,7,8,0.8809848842837603,0.0005050325560999878,0.005012601577181925,-0.017449178261776038,-6.704420031706069e-06
0.01,0.017,0.017,20,True,0,1,1.2354415096769578,2.0275663107378907e-05,-0.01583108454467136,0.005526258806771558,-3.719185786787595e-05
0.01,0.017,0.017,20,False,0,3,315.681338353981,2.010004366079386e-05,-0.14857967993580248,0.0016300881647074684,-0.0010879279974672469
0.01,0.017,0.017,20,False,0,6,319.66238517085674,2.0100095078134853e-05,-0.14926601899460337,0.003068517810156552,-0.001409442044721545
0.01,0.017,0.017,20,True,1,2,1.4151983036433273,2.0312300487156402e-05,-0.0027231725725646526,-0.010107619214407677,-0.00019888894072098297
0.01,0.017,0.017,20,False,3,0,617.9430712657575,2.010005542840062e-05,-0.15136049729528603,-0.002007778466815402,0.0074812999243760924
0.01,0.017,0.017,20,True,3,4,1.3527476741834352,2.0263796889620025e-05,-0.02040007389865916,0.004200164414747825,-7.13837314600527e-05
0.01,0.017,0.017,20,False,3,6,615.8068944573646,2.0100063406159203e-05,-0.15142067798667305,0.0021653340033440825,0.007305425475196699
0.01,0.017,0.017,20,True,4,5,1.5912391398310555,2.0320444143544796e-05,-2.877651593398606e-05,-0.011713154685933928,-0.00016622586584902642
0.01,0.017,0.017,20,False,6,0,258.6750664332668,2.010007815445362e-05,-0.14821385921774893,-0.0022422099538687164,-0.006044787398843337
0.01,0.017,0.017,20,False,6,3,256.1365109029623,2.0099999298875695e-05,-0.14975132072657377,0.00025655271057921505,-0.005899231176167782
0.01,0.017,0.017,20,True,6,7,1.261693298397835,2.026375297451408e-05,-0.020349398839127716,-3.2649813416875973e-06,9.90268346100403e-05
0.01,0.017,0.017,20,True,0,1,1.296115973481468,2.027548272240478e-05,-0.01583743529421332,0.0037049919098583323,-5.285752854699267e-06
0.01,0.017,0.017,20,False,0,3,296.90878637064594,2.0100001543699055e-05,-0.1496178613904921,-0.00045511128409342854,0.0006297904211220573
0.01,0.017,0.017,20,False,0,6,300.00258513034186,2.010001858132811e-05,-0.14935629536414374,0.0012997506332199748,0.00036393310805026355
0.01,0.017,0.017,20,True,1,2,1.493812121348753,2.031123554291637e-05,-0.0030736010270819457,-0.009795193531287891,-0.00027893818103842964
0.01,0.017,0.017,20,False,3,0,548.6651952439798,2.0100000351835207e-05,-0.14970144862266793,-0.00037639482828413675,0.009331438331729277
0.01,0.017,0.017,20,True,3,4,1.233033239837962,2.0269484332428213e-05,-0.018136439806266728,0.003097692174578173,-0.00011347878519379852
0.01,0.017,0.017,20,False,3,6,546.8220942587411,2.0100044023853892e-05,-0.15045005595715719,0.002125277035244336,0.009257131093475235
0.01,0.017,0.017,20,True,4,5,1.5904193145912338,2.031871708442979e-05,-0.0005789455875898991,-0.011163962268523644,-0.00011875635756439109
0.01,0.017,0.017,20,False,6,0,279.53706017268894,2.010001420141872e-05,-0.14922368018294302,-0.0010253933017734067,-0.005279141113936587
0.01,0.017,0.017,20,False,6,3,280.1143036313238,2.010000306993683e-05,-0.15016368172962233,-0.0006989818865025153,-0.005087591036095477
0.01,0.017,0.017,20,True,6,7,1.2690781211997764,2.0260391293656872e-05,-0.021687088938189242,4.522505708546122e-05,9.496552019463864e-05
0.01,0.017,0.017,20,True,7,8,1.4244219299985728,2.0321202336259412e-05,0.00029992542479588324,-0.010785481424811443,6.0085611818289294e-05
